name,year,selling_price,km_driven,fuel,transmission,owner,mileage,engine
Ford Figo 1.2P Titanium MT,2017,60000.0,2500.0,Petrol,Manual,Third Owner,18.16 kmpl,1196 CC
Maruti Baleno Delta 1.2,2019,65000.0,3000.0,Petrol,Manual,First Owner,21.4 kmpl,1197 CC
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,54000.0,4000.0,Diesel,Manual,First Owner,22.0 kmpl,1498 CC
Honda City i DTEC VX,2015,63000.0,13500.0,Diesel,Manual,First Owner,25.1 kmpl,1498 CC
Maruti Wagon R AMT VXI,2018,44800.0,3000.0,Petrol,Automatic,First Owner,20.51 kmpl,998 CC
Volkswagen Ameo 1.5 TDI Comfortline,2017,50000.0,8000.0,Diesel,Manual,First Owner,21.66 kmpl,1498 CC
Maruti Vitara Brezza VDi,2016,74500.0,7000.0,Diesel,Manual,First Owner,24.3 kmpl,1248 CC
Maruti Vitara Brezza ZDi Plus AMT,2019,102500.0,985.0,Diesel,Automatic,First Owner,24.3 kmpl,1248 CC
Hyundai i10 Magna,2011,23500.0,6000.0,Petrol,Manual,Second Owner,20.36 kmpl,1197 CC
Maruti Swift VDI Deca,2016,63000.0,7000.0,Diesel,Manual,First Owner,25.2 kmpl,1248 CC
Toyota Fortuner 4x4 MT,2015,170000.0,7800.0,Diesel,Manual,Second Owner,12.55 kmpl,2982 CC
Maruti Swift Star VDI,2013,45000.0,12000.0,Diesel,Manual,Second Owner,22.9 kmpl,1248 CC
Maruti Ertiga ZXI,2012,45000.0,12000.0,Petrol,Manual,Second Owner,16.02 kmpl,1373 CC
Tata Indica DLS,2003,5000.0,7000.0,Diesel,Manual,First Owner,,
Volkswagen Vento Diesel Highline,2013,45000.0,17000.0,Diesel,Manual,First Owner,20.54 kmpl,1598 CC
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,120000.0,14000.0,Diesel,Manual,First Owner,12.99 kmpl,2494 CC
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,61000.0,9000.0,Diesel,Manual,First Owner,22.77 kmpl,1498 CC
BMW X1 sDrive20i xLine,2016,250000.0,3000.0,Petrol,Automatic,Second Owner,15.71 kmpl,1998 CC
Maruti Celerio ZXI MT BSIV,2017,48499.9,1000.0,Petrol,Manual,First Owner,23.1 kmpl,998 CC
Datsun GO A Petrol,2016,27500.0,4900.0,Petrol,Manual,First Owner,19.02 kmpl,1198 CC
Maruti Alto 800 VXI BSIV,2016,31500.0,3200.0,Petrol,Manual,First Owner,24.7 kmpl,796 CC
Maruti Alto 800 LXI BSIV,2016,27500.0,3800.0,Petrol,Manual,First Owner,24.7 kmpl,796 CC
Maruti Swift VDI BSIV W ABS,2015,47500.0,7800.0,Diesel,Manual,First Owner,,
Hyundai i10 Era 1.1,2012,29000.0,2800.0,Petrol,Manual,First Owner,19.81 kmpl,1086 CC
Maruti Omni 8 Seater BSIV,2017,28000.0,3200.0,Petrol,Manual,First Owner,14.0 kmpl,796 CC
Maruti Wagon R LXI LPG BSIV,2010,22500.0,4400.0,LPG,Manual,First Owner,26.2 km/kg,998 CC
Volkswagen Polo 1.2 MPI Comfortline,2015,45500.0,4200.0,Petrol,Manual,First Owner,16.47 kmpl,1198 CC
Hyundai i10 Magna 1.1L,2015,35100.0,4500.0,Petrol,Manual,Second Owner,19.81 kmpl,1086 CC
Volkswagen Vento Petrol Highline,2012,53500.0,1200.0,Petrol,Manual,Second Owner,15.04 kmpl,1598 CC
Maruti Zen Estilo LXI BSIII,2009,17500.0,5550.0,Petrol,Manual,First Owner,18.2 kmpl,998 CC
Hyundai i20 Asta Optional with Sunroof 1.2,2013,52500.0,6150.0,Petrol,Manual,First Owner,18.5 kmpl,1197 CC
Maruti Swift Dzire LDI,2016,60000.0,15000.0,Diesel,Manual,First Owner,26.59 kmpl,1248 CC
Hyundai Xcent 1.2 Kappa SX Option AT,2016,56500.0,7200.0,Petrol,Automatic,First Owner,19.1 kmpl,1197 CC
Maruti Alto LX BSIII,2008,12000.0,6800.0,Petrol,Manual,Third Owner,19.7 kmpl,796 CC
Hyundai i20 1.4 Asta Option,2017,72500.0,11000.0,Diesel,Manual,First Owner,22.54 kmpl,1396 CC
Maruti Wagon R VXI,2009,18500.0,7700.0,Petrol,Manual,Second Owner,21.79 kmpl,998 CC
Tata Manza Aura (ABS) Quadrajet,2010,20000.0,10000.0,Diesel,Manual,Second Owner,18.8 kmpl,1248 CC
Maruti Swift VXI,2019,61500.0,1000.0,Petrol,Manual,First Owner,21.21 kmpl,1197 CC
Maruti Eeco 7 Seater Standard BSIV,2016,27000.0,10000.0,Petrol,Manual,Third Owner,15.37 kmpl,1196 CC
Maruti Baleno Zeta 1.2,2018,61000.0,3500.0,Petrol,Manual,First Owner,21.4 kmpl,1197 CC
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,62500.0,7000.0,Diesel,Automatic,Second Owner,11.79 kmpl,2179 CC
Ford Freestyle Titanium Petrol BSIV,2020,40000.0,500.0,Petrol,Manual,Second Owner,19.0 kmpl,1194 CC
Hyundai Verna VTVT 1.6 SX,2017,86600.0,3780.0,Petrol,Manual,First Owner,17.0 kmpl,1591 CC
Volkswagen Passat 1.8 TSI MT,2010,70000.0,11400.0,Petrol,Manual,First Owner,14.3 kmpl,1798 CC
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,30000.0,4800.0,Petrol,Manual,First Owner,15.8 kmpl,1172 CC
Mahindra XUV500 W11 Option AWD,2019,170000.0,3200.0,Diesel,Manual,First Owner,15.1 kmpl,2179 CC
Tata Indigo CS LS (TDI) BS-III,2016,37500.0,10000.0,Diesel,Manual,First Owner,19.09 kmpl,1405 CC
Hyundai Verna 1.6 SX,2013,52200.0,15000.0,Diesel,Manual,Second Owner,22.32 kmpl,1582 CC
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,45199.9,6900.0,Diesel,Manual,First Owner,21.9 kmpl,1396 CC
Toyota Corolla Altis G,2009,30000.0,10000.0,Petrol,Manual,Second Owner,14.53 kmpl,1798 CC
Maruti Celerio VXI,2020,47500.0,1300.0,Petrol,Manual,First Owner,21.63 kmpl,998 CC
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,78000.0,6000.0,Diesel,Manual,First Owner,24.3 kmpl,1248 CC
Maruti Swift Dzire VXI,2017,59500.0,4000.0,Petrol,Manual,First Owner,20.85 kmpl,1197 CC
Maruti Wagon R VXI BS IV,2017,44000.0,3500.0,Petrol,Manual,First Owner,20.51 kmpl,998 CC
Maruti Swift VDI BSIV,2010,30000.0,12000.0,Diesel,Manual,Second Owner,,
Nissan Terrano XL 85 PS,2014,40000.0,7000.0,Diesel,Manual,Third Owner,20.45 kmpl,1461 CC
Hyundai Creta 1.6 CRDi SX,2016,114000.0,5000.0,Diesel,Manual,First Owner,19.67 kmpl,1582 CC
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,85000.0,7613.9,Diesel,Manual,First Owner,23.0 kmpl,1498 CC
Maruti Swift Dzire VDi,2012,37000.0,17500.0,Diesel,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC
Renault KWID 1.0,2018,35000.0,2500.0,Petrol,Manual,First Owner,23.01 kmpl,999 CC
Maruti Celerio VXI,2015,36000.0,4000.0,Petrol,Manual,Second Owner,23.1 kmpl,998 CC
Maruti Alto LXi,2008,10500.0,6500.0,Petrol,Manual,Fourth & Above Owner,19.7 kmpl,796 CC
Maruti Ertiga VDI,2013,62500.0,9000.0,Diesel,Manual,Second Owner,20.77 kmpl,1248 CC
Hyundai Santro Xing GLS,2009,13500.0,8000.0,Petrol,Manual,Second Owner,17.92 kmpl,1086 CC
Maruti Ertiga VDI,2015,70000.0,11000.0,Diesel,Manual,Second Owner,20.77 kmpl,1248 CC
Honda Amaze S i-VTEC,2019,69000.0,130.3,Petrol,Manual,First Owner,17.8 kmpl,1198 CC
Audi Q5 35TDI Premium Plus,2018,397500.0,3180.0,Diesel,Automatic,First Owner,17.01 kmpl,1968 CC
Lexus ES 300h,2019,515000.0,2000.0,Petrol,Automatic,First Owner,22.37 kmpl,2487 CC
Jaguar XF 2.0 Diesel Portfolio,2017,320000.0,4500.0,Diesel,Automatic,First Owner,19.33 kmpl,1999 CC
Jeep Wrangler 2016-2019 3.6 4X4,2017,410000.0,1700.0,Petrol,Automatic,First Owner,9.5 kmpl,3604 CC
Land Rover Discovery Sport TD4 SE,2019,450000.0,2100.0,Diesel,Automatic,First Owner,12.83 kmpl,1999 CC
Mercedes-Benz S-Class S 350 CDI,2017,600000.0,3700.0,Diesel,Automatic,First Owner,13.5 kmpl,2987 CC
BMW 5 Series 520d Sport Line,2018,379000.0,2950.0,Diesel,Automatic,First Owner,22.48 kmpl,1995 CC
BMW X1 sDrive 20D xLine,2017,215000.0,2700.0,Diesel,Automatic,First Owner,,
BMW X4 M Sport X xDrive20d,2019,580000.0,750.0,Diesel,Automatic,First Owner,16.78 kmpl,1995 CC
Skoda Superb LK 1.8 TSI AT,2018,186499.9,5000.0,Petrol,Automatic,First Owner,14.67 kmpl,1798 CC
Mercedes-Benz E-Class E250 Edition E,2016,270000.0,3500.0,Diesel,Automatic,First Owner,15.0 kmpl,2143 CC
MG Hector Sharp AT BSIV,2019,175000.0,1900.0,Petrol,Automatic,First Owner,13.96 kmpl,1451 CC
Honda City i-VTEC CVT VX,2017,79500.0,4100.0,Petrol,Automatic,First Owner,18.0 kmpl,1497 CC
Toyota Corolla Altis 1.8 G CVT,2013,62500.0,3900.0,Petrol,Automatic,First Owner,14.28 kmpl,1798 CC
Volvo XC40 D4 R-Design,2018,340000.0,2200.0,Diesel,Automatic,First Owner,18.0 kmpl,1969 CC
Audi Q7 35 TDI Quattro Premium,2015,265000.0,5300.0,Diesel,Automatic,First Owner,12.07 kmpl,2967 CC
Maruti Ciaz ZDi,2015,53500.0,4000.0,Diesel,Manual,First Owner,26.21 kmpl,1248 CC
Mercedes-Benz S-Class S 350 CDI,2017,585000.0,4700.0,Diesel,Automatic,First Owner,13.5 kmpl,2987 CC
BMW 5 Series 523i,2010,97500.0,7220.0,Petrol,Automatic,Second Owner,10.8 kmpl,2497 CC
Hyundai Elantra S,2016,80500.0,4990.0,Petrol,Manual,First Owner,16.3 kmpl,1797 CC
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,262500.0,900.0,Diesel,Automatic,First Owner,13.6 kmpl,1999 CC
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,81100.0,1100.0,Petrol,Manual,First Owner,17.0 kmpl,1198 CC
Volkswagen Vento Petrol Highline,2011,37500.0,4900.0,Petrol,Manual,First Owner,15.04 kmpl,1598 CC
Hyundai Elantra SX,2012,55000.0,9500.0,Petrol,Manual,First Owner,16.3 kmpl,1797 CC
Skoda Rapid 1.6 MPI AT Elegance,2016,64500.0,1100.0,Petrol,Automatic,First Owner,14.3 kmpl,1598 CC
Mercedes-Benz CLA 200 CGI Sport,2018,255000.0,1800.0,Petrol,Automatic,First Owner,15.04 kmpl,1991 CC
Maruti Ertiga ZXI,2014,59900.0,4610.0,Petrol,Manual,First Owner,16.02 kmpl,1373 CC
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,270000.0,1600.0,Petrol,Automatic,First Owner,14.74 kmpl,1991 CC
Honda City V AT,2017,87500.0,1800.0,Petrol,Automatic,First Owner,15.6 kmpl,1497 CC
Toyota Glanza V CVT,2019,89499.9,965.4,Petrol,Automatic,First Owner,19.56 kmpl,1197 CC
Maruti Alto K10 VXI,2011,17500.0,1100.0,Petrol,Manual,First Owner,23.95 kmpl,998 CC
Maruti Swift VXI,2012,34000.0,2430.0,Petrol,Manual,First Owner,21.21 kmpl,1197 CC
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,152500.0,4216.3,Diesel,Automatic,Second Owner,11.36 kmpl,2755 CC
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,102500.0,800.0,Diesel,Automatic,First Owner,21.5 kmpl,1497 CC
BMW 3 Series 320d Luxury Line,2016,215000.0,3000.0,Diesel,Automatic,First Owner,22.69 kmpl,1995 CC
Toyota Camry 2.5 Hybrid,2016,190000.0,4100.0,Petrol,Automatic,First Owner,19.16 kmpl,2494 CC
BMW 5 Series 520d Luxury Line,2016,290000.0,1200.0,Diesel,Automatic,First Owner,18.12 kmpl,1995 CC
Toyota Camry W4 (AT),2009,45000.0,7100.0,Petrol,Automatic,First Owner,12.1 kmpl,2362 CC
Maruti Ertiga BSIV ZXI Plus,2016,85000.0,2000.0,Petrol,Manual,First Owner,17.5 kmpl,1373 CC
Volvo XC90 T8 Excellence BSIV,2017,1000000.0,3000.0,Petrol,Automatic,First Owner,42.0 kmpl,1969 CC
Volkswagen Vento Diesel Highline,2011,30000.0,10000.0,Diesel,Manual,Second Owner,20.54 kmpl,1598 CC
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,57500.0,950.0,Petrol,Manual,First Owner,18.16 kmpl,1196 CC
Ford Figo Diesel LXI,2011,16000.0,12000.0,Diesel,Manual,First Owner,20.0 kmpl,1399 CC
Maruti Swift VXI Optional,2015,51500.0,3660.0,Petrol,Manual,First Owner,20.4 kmpl,1197 CC
Maruti Wagon R AMT VXI,2015,39000.0,5000.0,Petrol,Automatic,Second Owner,20.51 kmpl,998 CC
Hyundai i20 Magna 1.2,2016,55000.0,1400.0,Petrol,Manual,Second Owner,18.6 kmpl,1197 CC
Maruti 800 Std,1999,4000.0,4000.0,Petrol,Manual,Second Owner,16.1 kmpl,796 CC
Maruti Ritz VDi,2010,22000.0,12000.0,Diesel,Manual,First Owner,21.1 kmpl,1248 CC
Hyundai Grand i10 Magna,2015,42500.0,7000.0,Petrol,Manual,First Owner,18.9 kmpl,1197 CC
Volkswagen Ameo 1.0 MPI Trendline,2019,48000.0,1300.0,Petrol,Manual,First Owner,19.44 kmpl,999 CC
Hyundai Grand i10 Sportz,2014,40000.0,6000.0,Petrol,Manual,Second Owner,18.9 kmpl,1197 CC
Maruti Swift Dzire VXI,2014,48700.0,3500.0,Petrol,Manual,First Owner,19.1 kmpl,1197 CC
Hyundai Xcent 1.2 Kappa S,2016,38600.0,4400.0,Petrol,Manual,Second Owner,19.1 kmpl,1197 CC
Honda City 1.5 EXI,2005,10000.0,12000.0,Petrol,Manual,Second Owner,13.0 kmpl,1493 CC
Toyota Corolla Altis Diesel D4DG,2010,30000.0,6000.0,Diesel,Manual,First Owner,21.43 kmpl,1364 CC
Daewoo Matiz SD,2000,10000.0,6000.0,Petrol,Manual,First Owner,18.5 kmpl,796 CC
Toyota Fortuner 4x2 Manual,2014,175000.0,3000.0,Diesel,Manual,Second Owner,13.0 kmpl,2982 CC
Mahindra KUV 100 mFALCON G80 K8,2016,45000.0,1500.0,Petrol,Manual,Second Owner,18.15 kmpl,1198 CC
Tata Zest Quadrajet 1.3 75PS XM,2017,49000.0,9000.0,Diesel,Manual,First Owner,22.95 kmpl,1248 CC
Honda City 1.5 S MT,2009,34500.0,4700.0,Petrol,Manual,Second Owner,17.0 kmpl,1497 CC
Maruti Zen LXI,2005,8500.0,9000.0,Petrol,Manual,First Owner,17.3 kmpl,993 CC
Maruti Wagon R VXI BS IV with ABS,2010,21500.0,12060.0,Petrol,Manual,Second Owner,18.9 kmpl,998 CC
Hyundai Verna Transform SX VTVT,2010,32000.0,10000.0,Petrol,Manual,Third Owner,16.2 kmpl,1599 CC
Maruti Swift Dzire VXI,2016,45999.9,6000.0,Petrol,Manual,Second Owner,20.85 kmpl,1197 CC
Hyundai Getz GLS,2005,6500.0,8600.0,Petrol,Manual,First Owner,15.3 kmpl,1341 CC
Hyundai Elite i20 Sportz Plus BSIV,2020,72000.0,500.0,Petrol,Manual,First Owner,18.6 kmpl,1197 CC
Maruti Ciaz 1.3 Alpha,2017,80000.0,3700.0,Diesel,Manual,First Owner,28.09 kmpl,1248 CC
Tata Tigor 1.2 Revotron XZ,2019,52000.0,1400.0,Petrol,Manual,First Owner,20.3 kmpl,1199 CC
Maruti Ertiga VDI,2015,58000.0,7000.0,Diesel,Manual,First Owner,20.77 kmpl,1248 CC
Toyota Etios GD,2012,23500.0,12000.0,Diesel,Manual,First Owner,,
Honda City i VTEC S,2015,60000.0,5000.0,Petrol,Manual,First Owner,17.4 kmpl,1497 CC
Honda Brio S MT,2014,29000.0,6000.0,Petrol,Manual,Second Owner,19.4 kmpl,1198 CC
Maruti Wagon R LXI CNG,2016,36000.0,5000.0,CNG,Manual,First Owner,26.6 km/kg,998 CC
Maruti Swift Dzire VXI,2017,55000.0,5000.0,Petrol,Manual,First Owner,20.85 kmpl,1197 CC
Hyundai i20 Sportz 1.2,2013,37500.0,7000.0,Petrol,Manual,First Owner,18.5 kmpl,1197 CC
Maruti Omni E 8 Str STD,2003,4000.0,9000.0,Petrol,Manual,Second Owner,,
Maruti Wagon R AMT VXI,2018,42000.0,3500.0,Petrol,Automatic,First Owner,20.51 kmpl,998 CC
Maruti Swift Dzire VXI 1.2,2017,55000.0,2000.0,Petrol,Manual,First Owner,21.21 kmpl,1197 CC
Maruti Alto 800 LXI,2018,27000.0,2000.0,Petrol,Manual,First Owner,24.7 kmpl,796 CC
Maruti Swift Dzire AMT VXI BS IV,2018,70000.0,780.0,Petrol,Automatic,First Owner,22.0 kmpl,1197 CC
Maruti Swift VXI Optional,2017,50000.0,2000.0,Petrol,Manual,First Owner,20.4 kmpl,1197 CC
Tata Hexa XE,2019,125000.0,1500.0,Diesel,Manual,First Owner,17.6 kmpl,2179 CC
Hyundai i20 Magna,2013,32000.0,3137.7,Petrol,Manual,Second Owner,18.5 kmpl,1197 CC
Maruti Swift Dzire VDI,2018,70000.0,5000.0,Diesel,Manual,First Owner,28.4 kmpl,1248 CC
Maruti Wagon R VXI BS IV,2015,29000.0,6000.0,Petrol,Manual,First Owner,20.51 kmpl,998 CC
Toyota Corolla Altis 1.8 VL AT,2012,55000.0,10000.0,Petrol,Automatic,First Owner,14.53 kmpl,1794 CC
Honda Brio S MT,2012,26500.0,6000.0,Petrol,Manual,First Owner,19.4 kmpl,1198 CC
Maruti Baleno Alpha Automatic,2018,83000.0,500.0,Petrol,Automatic,First Owner,21.4 kmpl,1197 CC
Tata Safari Storme EX,2017,80000.0,6000.0,Diesel,Manual,First Owner,14.1 kmpl,2179 CC
Maruti Alto LXi,2011,16000.0,2500.0,Petrol,Manual,Second Owner,19.7 kmpl,796 CC
Renault KWID RXT,2018,33500.0,3000.0,Petrol,Manual,First Owner,25.17 kmpl,799 CC
Datsun GO T BSIV,2017,32900.0,8000.0,Petrol,Manual,Second Owner,20.63 kmpl,1198 CC
Maruti Vitara Brezza VDi Option,2017,77500.0,7500.0,Diesel,Manual,First Owner,24.3 kmpl,1248 CC
Hyundai Xcent 1.2 VTVT SX,2020,52400.0,3200.0,Petrol,Manual,First Owner,20.14 kmpl,1197 CC
Maruti Alto 800 LXI,2015,24500.0,4000.0,Petrol,Manual,First Owner,22.74 kmpl,796 CC
Hyundai i20 1.2 Sportz,2012,27500.0,9300.0,Petrol,Manual,Second Owner,17.0 kmpl,1197 CC
Tata Zest Revotron 1.2 XT,2018,52000.0,6000.0,Petrol,Manual,First Owner,17.57 kmpl,1193 CC
Maruti Swift 1.3 VXi,2008,13000.0,12000.0,Petrol,Manual,Second Owner,,
Nissan Sunny XL,2014,55000.0,3700.0,Petrol,Manual,First Owner,16.95 kmpl,1498 CC
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,91000.0,1500.0,Petrol,Manual,First Owner,17.0 kmpl,1497 CC
Nissan Micra Active XV S,2015,30000.0,8000.0,Petrol,Manual,First Owner,19.49 kmpl,1198 CC
Maruti Wagon R LXI Optional,2016,35000.0,14000.0,Petrol,Manual,First Owner,20.51 kmpl,998 CC
Mahindra Ssangyong Rexton RX5,2013,90000.0,7000.0,Diesel,Manual,First Owner,12.83 kmpl,2696 CC
Mahindra Quanto C8,2013,30000.0,12000.0,Diesel,Manual,Second Owner,17.21 kmpl,1493 CC
